,标题,作者,调整出版物名称,出版年,起始页面,结束页面,Pages,会议名称,合计引用次数,每年的平均数,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Author_number
10,The DRESS Syndrome: A Literature Review,"Cacoub, Patrice; Musette, Philippe; Descamps, Vincent; Meyer, Olivier; Speirs, Chris; Finzi, Laetitia; Roujeau, Jean Claude",AMERICAN JOURNAL OF MEDICINE,2011,588,597,9,0,461,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,77,38,56,71,64,53,55,7
11,Treatment of Neuropathic Pain: An Overview of Recent Guidelines,"O'Connor, Alec B.; Dworkin, Robert H.",AMERICAN JOURNAL OF MEDICINE,2009,22,32,10,0,452,37.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,42,45,54,64,54,51,40,34,27,2
12,Overconfidence as a cause of diagnostic error in medicine,"Berner, Eta S.; Graber, Mark L.",AMERICAN JOURNAL OF MEDICINE,2008,2,23,21,0,421,32.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,24,18,40,42,31,40,37,59,52,45,2
13,"Hereditary angioedema: New findings concerning symptoms, affected organs, and course","Bork, K; Meng, G; Staubach, P; Hardt, J",AMERICAN JOURNAL OF MEDICINE,2006,267,274,7,0,413,27.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,17,13,33,37,34,46,40,36,37,31,32,42,4
14,"Medical Bankruptcy in the United States, 2007: Results of a National Study","Himmelstein, David U.; Thorne, Deborah; Warren, Elizabeth; Woolhandler, Steffie",AMERICAN JOURNAL OF MEDICINE,2009,741,746,5,0,410,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,38,42,40,52,47,37,56,43,25,4
15,Prevalence and Characteristics of Tinnitus among US Adults,"Shargorodsky, Josef; Curhan, Gary C.; Farwell, Wildon R.",AMERICAN JOURNAL OF MEDICINE,2010,711,718,7,0,409,37.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,33,41,49,50,59,62,57,3
16,Long-term low-molecular-weight heparin versus usual care in proximal-vein thrombosis patients with cancer,"Hull, Russell D.; Pineo, Graham F.; Brant, Rollin F.; Mah, Andrew F.; Burke, Natasha; Dear, Richard; Wong, Turnly; Cook, Roy; Solymoss, Susan; Poon, Man-Chiu; Raskob, Gary",AMERICAN JOURNAL OF MEDICINE,2006,1062,1072,10,0,407,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,37,21,32,24,37,32,30,32,30,39,38,11
17,Late thrombosis of drug-eluting stents: A meta-analysis of randomized clinical trials,"Bavry, Anthony A.; Kumbhani, Dharam J.; Helton, Thomas J.; Borek, Przemyslaw P.; Mood, Girish R.; Bhatt, Deepak L.",AMERICAN JOURNAL OF MEDICINE,2006,1056,1061,5,0,400,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,70,56,47,31,37,32,16,15,8,7,9,7,6
18,Prevalence of the metabolic syndrome in individuals with hyperuricemia,"Choi, Hyon K.; Ford, Earl S.",AMERICAN JOURNAL OF MEDICINE,2007,442,447,5,0,389,27.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,25,47,27,34,46,26,32,35,32,24,31,2
19,Self-monitoring of blood glucose levels and glycemic control: the Northern California Kaiser Permanente Diabetes registry.,"Karter, A J; Ackerson, L M; Darbinian, J A; D'Agostino, R B Jr; Ferrara, A; Liu, J; Selby, J V",AMERICAN JOURNAL OF MEDICINE,2001,1,9,8,0,387,19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,20,22,27,17,27,24,23,18,31,23,22,30,23,20,20,16,7
20,Incidence and prevalence of hyponatremia,"Upadhyay, Ashish; Jaber, Bertrand L.; Madias, Nicolaos E.",AMERICAN JOURNAL OF MEDICINE,2006,30,35,5,1,379,25.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,17,17,22,28,30,32,32,38,39,36,33,35,3
21,A cost-benefit analysis of electronic medical records in primary care.,"Wang, Samuel J; Middleton, Blackford; Prosser, Lisa A; Bardon, Christiana G; Spurr, Cynthia D; Carchidi, Patricia J; Kittler, Anne F; Goldszer, Robert C; Fairchild, David G; Sussman, Andrew J; Kuperman, Gilad J; Bates, David W",AMERICAN JOURNAL OF MEDICINE,2003,397,403,6,0,374,20.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,13,15,26,21,32,30,41,32,37,29,24,18,22,15,8,12
22,"Diagnosis, Evaluation, and Treatment of Hyponatremia: Expert Panel Recommendations","Verbalis, Joseph G.; Goldsmith, Steven R.; Greenberg, Arthur; Korzelius, Cynthia; Schrier, Robert W.; Sterns, Richard H.; Thompson, Christopher J.",AMERICAN JOURNAL OF MEDICINE,2013,5,41,36,0,372,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,54,68,70,65,67,7
23,"Sick Fat, Metabolic Disease, and Atherosclerosis","Bays, Harold E.",AMERICAN JOURNAL OF MEDICINE,2009,26,37,11,0,144,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,16,17,18,19,10,11,8,3,5,1
24,The connection between chronic obstructive pulmonary disease symptoms and hyperinflation and its impact on exercise and function,"Cooper, Christopher B.",AMERICAN JOURNAL OF MEDICINE,2006,21,31,10,0,143,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,9,9,17,14,17,16,12,12,8,4,1
25,Prevalence and risk factors for erectile dysfunction in the US,"Selvin, Elizabeth; Burnett, Arthur L.; Platz, Elizabeth A.",AMERICAN JOURNAL OF MEDICINE,2007,151,157,6,0,360,25.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,20,31,21,26,28,21,36,37,40,32,34,3
26,Obesity paradox in patients with hypertension and coronary artery disease,"Uretsky, Seth; Messerli, Franz H.; Bangalore, Sripal; Champion, Annette; Cooper-DeHoff, Rhonda M.; Zhou, Qian; Pepine, Carl J.",AMERICAN JOURNAL OF MEDICINE,2007,863,870,7,1,352,25.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,26,33,36,33,38,32,28,31,25,28,7
27,Incidence of venous thromboembolism in patients hospitalized with cancer,"Stein, PD; Beemath, A; Meyers, FA; Skaf, E; Sanchez, J; Olson, RE",AMERICAN JOURNAL OF MEDICINE,2006,60,68,8,0,350,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,40,28,28,30,24,26,26,34,22,33,16,6
28,Antimicrobial stewardship,"Fishman, Neil",AMERICAN JOURNAL OF MEDICINE,2006,53,61,8,1,137,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,6,9,7,10,15,10,14,15,7,14,5,7,1
29,Resistance in gram-negative bacteria: Enterobacteriaceae,"Paterson, David L.",AMERICAN JOURNAL OF MEDICINE,2006,20,28,8,1,344,22.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,20,18,28,34,36,35,35,23,24,25,24,1
30,Death and disability from warfarin-associated intracranial and extracranial hemorrhages,"Fang, Margaret C.; Go, Alan S.; Chang, Yuchiao; Hylek, Elaine M.; Henault, Lori E.; Jensvold, Nancy G.; Singer, Daniel E.",AMERICAN JOURNAL OF MEDICINE,2007,700,705,5,0,338,24.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,26,20,23,33,39,35,38,34,31,23,7
31,"Recent Trends in the Incidence, Treatment, and Outcomes of Patients with STEMI and NSTEMI","McManus, David D.; Gore, Joel; Yarzebski, Jorge; Spencer, Frederick; Lessard, Darleen; Goldberg, Robert J.",AMERICAN JOURNAL OF MEDICINE,2011,40,47,7,0,334,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,31,40,45,54,48,44,38,6
32,"Diabetic cardiomyopathy: Insights into pathogenesis, diagnostic challenges, and therapeutic options","Aneja, Ashish; Tang, W. H. Wilson; Bansilal, Sameer; Garcia, Mario J.; Farkouh, Michael E.",AMERICAN JOURNAL OF MEDICINE,2008,748,757,9,0,331,25.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,24,34,29,30,24,36,39,39,28,5
33,Hyponatremia treatment guidelines 2007: Expert panel recommendations,"Verbalis, Joseph G.; Goldsmith, Stephen R.; Greenberg, Arthur; Schrier, Robert W.; Sterns, Richard H.",AMERICAN JOURNAL OF MEDICINE,2007,1,21,20,0,331,23.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,39,46,41,50,34,25,13,20,13,9,5
34,"Serum uric acid and cardiovascular disease: Recent developments, and where do they leave us?","Baker, JF; Krishnan, E; Chen, L; Schumacher, HR",AMERICAN JOURNAL OF MEDICINE,2005,816,826,10,0,323,20.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,26,36,26,29,17,28,32,20,18,26,14,13,21,4
35,Synovial fluid leukocyte count and differential for the diagnosis of prosthetic knee infection,"Trampuz, A; Hanssen, AD; Osmon, DR; Mandrekar, J; Steckelberg, JM; Patel, R",AMERICAN JOURNAL OF MEDICINE,2004,556,562,6,0,320,18.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,12,11,18,16,14,21,27,34,35,26,23,27,27,22,6
36,Gastric banding or bypass? A systematic review comparing the two most popular bariatric procedures,"Tice, Jeffrey A.; Karliner, Leah; Walsh, Judith; Petersen, Amy J.; Feldman, Mitchell D.",AMERICAN JOURNAL OF MEDICINE,2008,885,893,8,0,315,24.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,46,50,34,42,40,18,17,15,10,8,5
37,Inflammation and atherosclerosis: Role of C-reactive protein in risk assessment,"Libby, P; Ridker, PM",AMERICAN JOURNAL OF MEDICINE,2004,9,16,7,1,311,18.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,31,23,17,29,22,21,24,20,20,15,15,15,22,15,2
38,Life expectancy and prognostic factors for survival in patients with polycythemia vera and essential thrombocythemia,"Passamonti, F; Rumi, E; Pungolino, E; Malabarba, L; Bertazzoni, P; Valentini, M; Orlandi, E; Arcaini, L; Brusamolino, E; Pascutto, C; Cazzola, M; Morra, E; Lazzarino, M",AMERICAN JOURNAL OF MEDICINE,2004,755,761,6,0,307,18.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,18,17,23,21,19,24,23,23,17,24,23,26,17,16,13
39,Systematic review and meta-analysis of adverse events of low-dose aspirin and clopidogrel in randomized controlled trials,"McQuaid, Kenneth R.; Laine, Loren",AMERICAN JOURNAL OF MEDICINE,2006,624,638,14,0,306,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,18,33,28,25,31,28,25,27,25,23,13,17,2
40,Fruit and vegetable juices and Alzheimer's disease: The Kame Project,"Dai, Qi; Borenstein, Amy R.; Wu, Yougui; Jackson, James C.; Larson, Eric B.",AMERICAN JOURNAL OF MEDICINE,2006,751,759,8,0,303,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,19,27,31,25,21,22,32,25,25,18,23,19,5
41,Mortality in systemic sclerosis: an international meta-analysis of individual patient data,"Ioannidis, JPA; Vlachoyiannopoulos, PG; Haidich, AB; Medsger, TA; Lucas, M; Michet, CJ; Kuwana, M; Yasuoka, H; van den Hoogen, F; Boome, LT; van Laar, JM; Verbeet, NL; Matucci-Cerinic, M; Georgountzos, A; Moutsopoulos, HM",AMERICAN JOURNAL OF MEDICINE,2005,2,10,8,0,303,18.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,23,30,13,29,22,22,24,29,18,19,23,18,10,15
42,Obesity as a risk factor in venous thromboembolism,"Stein, PD; Beernath, A; Olson, RE",AMERICAN JOURNAL OF MEDICINE,2005,978,980,2,0,291,18.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,14,15,23,27,25,28,26,25,29,20,19,12,3
43,"Heart failure in rheumatoid arthritis: Rates, predictors, and the effect of anti-tumor necrosis factor therapy","Wolfe, F; Michaud, K",AMERICAN JOURNAL OF MEDICINE,2004,305,311,6,0,284,16.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,27,29,26,18,14,20,17,12,11,16,15,8,14,9,2
44,The etiology of urinary tract infection: traditional and emerging pathogens.,"Ronald, Allan",AMERICAN JOURNAL OF MEDICINE,2002,14,19,5,0,283,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,9,13,13,11,7,13,17,20,26,29,24,25,15,21,20,1
45,"Overweight and obesity as risk factors for atrial fibrillation or flutter: The Danish Diet, Cancer, and Health Study","Frost, L; Hune, LJ; Vestergaard, P",AMERICAN JOURNAL OF MEDICINE,2005,489,495,6,0,279,17.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,7,14,10,14,19,15,18,25,27,32,29,32,20,3
46,Role of inflammation in atherosclerosis associated with rheumatoid arthritis,"Libby, Peter",AMERICAN JOURNAL OF MEDICINE,2008,21,31,10,1,272,20.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,26,31,35,27,29,33,17,19,25,12,1
47,Commonly used herbal medicines in the United States: A review,"Bent, S; Ko, R",AMERICAN JOURNAL OF MEDICINE,2004,478,485,7,0,272,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,21,20,18,20,10,20,22,23,23,25,10,14,13,12,2
48,Fitness versus physical activity patterns in predicting mortality in men,"Myers, J; Kaykha, A; George, S; Abella, J; Zaheer, N; Lear, S; Yamazaki, T; Froelicher, V",AMERICAN JOURNAL OF MEDICINE,2004,912,918,6,0,270,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,19,14,20,18,22,23,13,18,27,22,16,21,21,8
49,"Diabetes Prevalence and Therapeutic Target Achievement in the United States, 1999 to 2006","Cheung, Bernard M. Y.; Ong, Kwok Leung; Cherny, Stacey S.; Sham, Pak-Chung; Tso, Annette W. K.; Lam, Karen S. L.",AMERICAN JOURNAL OF MEDICINE,2009,443,453,10,0,268,22.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,41,45,47,39,25,15,11,11,5,6
50,Has mortality from acute renal failure decreased? A systematic review of the literature,"Ympa, YP; Sakr, Y; Reinhart, K; Vincent, JL",AMERICAN JOURNAL OF MEDICINE,2005,827,832,5,0,266,16.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,30,15,30,17,27,17,23,17,11,10,17,6,4
51,Diagnosis of Peripheral Tuberculous Lymphadenitis by Enzyme-Linked Immunospot Assay for Interferon-gamma Reply,"Kim, Sung-Han; Oh, Myoung-don",AMERICAN JOURNAL OF MEDICINE,2009,5,6,1,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2
52,"Diagnosing pulmonary embolism in outpatients with clinical assessment, D-dimer, measurement, venous ultrasound, and helical computed tomography: A multicenter management study","Perrier, A; Roy, PM; Aujesky, D; Chagnon, I; Howarth, N; Gourdier, AL; Leftheriotis, G; Barghouth, G; Cornuz, J; Hayoz, D; Bounameaux, H",AMERICAN JOURNAL OF MEDICINE,2004,291,299,8,0,266,15.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,35,39,30,25,21,18,16,12,4,11,9,12,6,9,2,11
53,The impact of low health literacy on the medical costs of Medicare managed care enrollees,"Howard, DH; Gazmararian, J; Parker, RM",AMERICAN JOURNAL OF MEDICINE,2005,371,377,6,0,265,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,6,21,12,20,19,19,23,28,23,18,32,18,3
54,Prevalence and outcomes of anemia in cancer: A systematic review of the literature,"Knight, K; Wade, S; Balducci, L",AMERICAN JOURNAL OF MEDICINE,2004,11,26,15,0,265,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,14,15,14,12,16,19,12,12,22,20,15,26,19,22,3
55,"Impact of anemia on mortality, cognition, and function in community-dwelling elderly","Denny, SD; Kuchibhatla, MN; Cohen, HJ",AMERICAN JOURNAL OF MEDICINE,2006,327,334,7,0,263,17.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,27,25,23,14,24,27,21,26,14,19,12,11,3
56,"Obesity-associated hypoventilation in hospitalized patients: Prevalence, effects, and outcome","Nowbar, S; Burkart, KM; Gonzales, R; Gozansky, WS; Gaudio, JC; Taylor, MRG; Zwillich, CW",AMERICAN JOURNAL OF MEDICINE,2004,1,7,6,0,262,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,17,19,12,18,18,18,19,20,20,19,27,18,18,7
57,Bioactive compounds in foods: their role in the prevention of cardiovascular disease and cancer.,"Kris-Etherton, Penny M; Hecker, Kari D; Bonanome, Andrea; Coval, Stacie M; Binkoski, Amy E; Hilpert, Kirsten F; Griel, Amy E; Etherton, Terry D",AMERICAN JOURNAL OF MEDICINE,2002,71,88,17,0,262,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,26,44,37,33,33,24,3,1,9,7,4,2,0,4,3,8
58,The antineutrophil cytoplasmic antibody-associated vasculitides,"Seo, P; Stone, JH",AMERICAN JOURNAL OF MEDICINE,2004,39,50,11,0,261,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,22,17,19,16,19,22,20,17,15,16,12,15,16,2
59,Obesity paradox or a better nutritional status?,"Guida, Brunella; Laccetti, Roberta; Procino, Alfredo; Memoli, Bruno",AMERICAN JOURNAL OF MEDICINE,2008,7,7,0,0,3,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4
60,Obesity Is Not Protective against Fracture in Postmenopausal Women: GLOW,"Compston, Juliet E.; Watts, Nelson B.; Chapurlat, Roland; Cooper, Cyrus; Boonen, Steven; Greenspan, Susan; Pfeilschifter, Johannes; Silverman, Stuart; Diez-Perez, Adolfo; Lindsay, Robert; Saag, Kenneth G.; Netelenbos, J. Coen; Gehlbach, Stephen; Hooven, Frederick H.; Flahive, Julie; Adachi, Jonathan D.; Rossini, Maurizio; LaCroix, Andrea Z.; Roux, Christian; Sambrook, Philip N.; Siris, Ethel S.",AMERICAN JOURNAL OF MEDICINE,2011,1043,1050,7,0,253,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,43,28,32,35,28,36,21
